sentence1,sentence2,label
用微信都6年，微信没有微粒贷功能,4。  号码来微粒贷,0
微信消费算吗,还有多少钱没还,0
交易密码忘记了找回密码绑定的手机卡也掉了,怎么最近安全老是要改密码呢好麻烦,0
你好 我昨天晚上申请的没有打电话给我 今天之内一定会打吗？,什么时候可以到账,0
"“微粒贷开通""",你好，我的微粒贷怎么没有开通呢,0
为什么借款后一直没有给我回拨电话,怎么申请借款后没有打电话过来呢！,1
为什么我每次都提前还款了最后却不给我贷款了,30号我一次性还清可以不,0
请问一天是否都是限定只能转入或转出都是五万。,微众多少可以赎回短期理财,0
微粒咨询电话号码多少,你们的人工客服电话是多少,1
已经在银行换了新预留号码。,我现在换了电话号码，这个需要更换吗,1
下周有什么好产品？,元月份有哪些理财产品,1
第一次使用，额度多少？,我的额度多少钱,1
我什么时候可以通过微粒贷借钱,提前还清贷款还能再借吗,0
借款后多长时间给打电话,借款后多久打电话啊,1
没看到微粒贷,我借那么久也没有提升啊,0
原来的手机号不用了，怎么换,手机号码没有更改,1
我想开通微粒贷 不知我应该做写什么准备材料呢,为何苹果手机显示微粒贷暂未开放？,0
能查帐单吗,可以查询帐单,1
日利率多少,息多少,1
微信6.2的版本没有微粒贷吗？,什么时候才会全面开放名额,0
0K，谢谢，还没有开通,开通为什么显示证件已被使用,0
综合评估为何过不了,为什么综合评分不能过?,1
:请问下我可以提额,当月还清了，当月能提高额度吗,0
1000多少一天,10000借三天，总利息是163？,1
为什么会有短信说审核不通过,为什么借款回复是未通过了？,1
借款不能用于什么,借的款可以用来还信用卡吗？,1
还款银行怎么修改,怎么更改还款卡,1
卡里有钱为什么显示还款失败,为啥账户有钱却还款失败,1
4:借款期限,可以分期还款吗,0
一次性还款,qq怎么不提醒还款,0
1无法借款,qq有微立代,0
五点前还款失败,为什还款失败,1
什么时候可以使微敉贷,什么时候可以向微粒袋借钱,1
为什么卡的有钱，不自动扣钱呢。,我账户有足够存款怎么不会扣钱？,1
借款的钱能用来干什么？,借款成功后的钱只能用于日常什么消费,1
我换号码了，要更换电话号码,换手机号,1
借款需要什么证明？,不给开还发什么消息,0
电话更改了,电话号码可以更改吗,1
一般多久能收到审核电话？,一直都是等待电话通知,0
如果今天扣款不成功，会不会造成以后借款的问题,请帮我查看我刚才借贷500是否成功,0
我一点钟转钱进还款卡里了，现在过5点了，怎么还没自动扣款呢？,5点怎么没有扣款，,1
不是邀请的如何贷款？,我不是你们邀请的客人可以贷款吗？,1
如何满足微粒银行的审核,建设银行有微粒贷的资格吗,0
QQ钱包里的微粒贷和微信里的有区别吗？,QQ钱包在那打开,0
可以取消借款么？,不可以取消借款吗,1
打开钱包没有微立贷,怎么拥有微粒贷,0
没接到电话可以给你们回电话吗,回访电话没接到,1
怎么才能成为微粒贷邀请的客户？,怎么不邀请我开通啊,0
已经还款，怎么还有逾期提醒,我已经还款，为何还会出现逾期提醒,1
如何修改自动还款银行卡,如何设置自动还快,0
息是多少？,我借40000元，十个月还，息恭是多少？,0
